dataset,trial,epsilon,alpha,n,num_policies,oracle_lp_saved,oracle_lp_error,method,m,radius,alpha_used,selected_threshold,empirical_loss,ucb,realized_error,budget_saved,avg_cost,violated,chosen_source
ImageNet,23,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.3002813458442688,0.0364,0.049981015157406196,0.03784,0.38102,0.61898,0.0,B
ImageNet,24,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.13,0.0374,0.049638734153404085,0.0382,0.6345,0.36550000000000005,0.0,
ImageNet,24,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.33663439750671387,0.0377,0.04993873415340408,0.04348,0.38882,0.6111800000000001,0.0,
ImageNet,24,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.2949633002281189,0.0377,0.04993873415340408,0.03732,0.37954,0.62046,0.0,
ImageNet,24,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.32548850774765015,0.0364,0.049981015157406196,0.04224,0.38524,0.61476,0.0,A
ImageNet,25,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.13,0.0369,0.049138734153404084,0.0382,0.6345,0.36550000000000005,0.0,
ImageNet,25,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.2910066246986389,0.0377,0.04993873415340408,0.03788,0.37448,0.6255200000000001,0.0,
ImageNet,25,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.28646737337112427,0.0377,0.04993873415340408,0.03618,0.37706,0.62294,0.0,
ImageNet,25,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.27620118856430054,0.0364,0.049981015157406196,0.03476,0.37344,0.62656,0.0,B
ImageNet,26,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.125,0.0375,0.04973873415340408,0.03704,0.6294,0.37060000000000004,0.0,
ImageNet,26,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.2834964990615845,0.0377,0.04993873415340408,0.03684,0.37216,0.62784,0.0,
ImageNet,26,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.3240339756011963,0.0377,0.04993873415340408,0.04076,0.38824,0.6117600000000001,0.0,
ImageNet,26,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.31368470191955566,0.0364,0.049981015157406196,0.0395,0.38504,0.61496,0.0,B
ImageNet,27,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.135,0.037,0.04923873415340408,0.03934,0.6392,0.3608,0.0,
ImageNet,27,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.3055955171585083,0.0377,0.04993873415340408,0.03954,0.37898,0.62102,0.0,
ImageNet,27,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.2952162027359009,0.0377,0.04993873415340408,0.03736,0.3796,0.6204000000000001,0.0,
ImageNet,27,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.28573501110076904,0.0364,0.049981015157406196,0.03608,0.37676,0.62324,0.0,B
ImageNet,28,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.135,0.0374,0.049638734153404085,0.03934,0.6392,0.3608,0.0,
ImageNet,28,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.2924041748046875,0.0377,0.04993873415340408,0.0381,0.375,0.625,0.0,
ImageNet,28,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.29028773307800293,0.0377,0.04993873415340408,0.03678,0.3782,0.6218,0.0,
ImageNet,28,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.28018587827682495,0.0364,0.049981015157406196,0.03532,0.37472,0.6252800000000001,0.0,B
ImageNet,29,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.12,0.0376,0.049838734153404084,0.03604,0.62426,0.37573999999999996,0.0,
ImageNet,29,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.2762395143508911,0.0377,0.04993873415340408,0.0361,0.37,0.63,0.0,
ImageNet,29,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.29547953605651855,0.0377,0.04993873415340408,0.03738,0.3797,0.6203000000000001,0.0,
ImageNet,29,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.2880859375,0.0364,0.049981015157406196,0.03644,0.37748,0.62252,0.0,B
ImageNet,30,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.13,0.0373,0.04953873415340408,0.0382,0.6345,0.36550000000000005,0.0,
ImageNet,30,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.280708909034729,0.0377,0.04993873415340408,0.03656,0.3714,0.6286,0.0,
ImageNet,30,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.3086503744125366,0.0377,0.04993873415340408,0.03886,0.38368,0.61632,0.0,
ImageNet,30,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.29414743185043335,0.0362,0.0497810151574062,0.03724,0.37934,0.62066,0.0,B
ImageNet,31,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.135,0.0372,0.04943873415340408,0.03934,0.6392,0.3608,0.0,
ImageNet,31,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.30731070041656494,0.0376,0.049838734153404084,0.0398,0.37954,0.62046,0.0,
ImageNet,31,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.29179877042770386,0.0377,0.04993873415340408,0.03696,0.37856,0.62144,0.0,
ImageNet,31,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.28640490770339966,0.0364,0.049981015157406196,0.03616,0.37704,0.62296,0.0,B
ImageNet,32,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.115,0.037,0.04923873415340408,0.03478,0.61902,0.38098,0.0,
ImageNet,32,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.28214341402053833,0.0377,0.04993873415340408,0.03664,0.37166,0.62834,0.0,
ImageNet,32,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.2810875177383423,0.0377,0.04993873415340408,0.03544,0.37508,0.6249199999999999,0.0,
