dataset,trial,epsilon,alpha,n,model_error,num_policies,oracle_grid_budget_saved,oracle_grid_error,method,m,radius,selected_threshold,empirical_loss,ucb,realized_error,budget_saved,avg_cost,violated
ImageNet,53,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.11261117458343506,0.0377,0.04993873415340408,0.03444,0.61662,0.38338000000000005,0.0
ImageNet,54,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.095,0.0294,0.0497764569674848,0.03016,0.5965,0.40349999999999997,0.0
ImageNet,54,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12640345096588135,0.0377,0.04993873415340408,0.03734,0.63092,0.36907999999999996,0.0
ImageNet,55,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.09,0.0296,0.0499764569674848,0.02906,0.59012,0.40988,0.0
ImageNet,55,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.1291751265525818,0.0377,0.04993873415340408,0.03798,0.63374,0.36626000000000003,0.0
ImageNet,56,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.095,0.0291,0.0494764569674848,0.03016,0.5965,0.40349999999999997,0.0
ImageNet,56,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12911629676818848,0.0377,0.04993873415340408,0.03796,0.63368,0.36632,0.0
ImageNet,57,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.09,0.029,0.0493764569674848,0.02906,0.59012,0.40988,0.0
ImageNet,57,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.11630594730377197,0.0377,0.04993873415340408,0.03506,0.62074,0.37926000000000004,0.0
ImageNet,58,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.095,0.0296,0.0499764569674848,0.03016,0.5965,0.40349999999999997,0.0
ImageNet,58,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.13411003351211548,0.0377,0.04993873415340408,0.0391,0.63844,0.36156,0.0
ImageNet,59,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.09,0.0285,0.0488764569674848,0.02906,0.59012,0.40988,0.0
ImageNet,59,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12518310546875,0.0377,0.04993873415340408,0.03706,0.62962,0.37038000000000004,0.0
ImageNet,60,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.085,0.0296,0.0499764569674848,0.02792,0.5836,0.4164,0.0
ImageNet,60,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12454718351364136,0.0377,0.04993873415340408,0.0369,0.62888,0.37112,0.0
