dataset,trial,epsilon,alpha,n,num_policies,oracle_lp_saved,oracle_lp_error,method,m,radius,alpha_used,selected_threshold,empirical_loss,ucb,realized_error,budget_saved,avg_cost,violated,chosen_source
ImageNetV2,98,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.4064,0.0685,0.09886807309541526,0.0732,0.3633,0.6367,0.0,B
ImageNetV2,99,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.115,0.054,0.09956314291989524,0.0489,0.4777,0.5223,0.0,
ImageNetV2,99,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.3823,0.0725,0.09986664152555987,0.0732,0.3481,0.6518999999999999,0.0,
ImageNetV2,99,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.34819999999999995,0.0725,0.09986664152555987,0.0607,0.3403,0.6597,0.0,
ImageNetV2,99,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.36029999999999995,0.0695,0.09986807309541526,0.069,0.3397,0.6603,0.0,A
ImageNetV2,100,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.135,0.0535,0.09906314291989524,0.0557,0.4991,0.5009,0.0,
ImageNetV2,100,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.41100000000000003,0.072,0.09936664152555987,0.0789,0.3586,0.6414,0.0,
ImageNetV2,100,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.43889999999999996,0.0725,0.09986664152555987,0.0795,0.3742,0.6258,0.0,
ImageNetV2,100,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.42390000000000005,0.0695,0.09986807309541526,0.0762,0.3689,0.6311,0.0,B
ImageNetV2,101,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.11,0.0535,0.09906314291989524,0.0468,0.4712,0.5287999999999999,0.0,
ImageNetV2,101,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.30910000000000004,0.0725,0.09986664152555987,0.0586,0.3199,0.6800999999999999,0.0,
ImageNetV2,101,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.4354,0.072,0.09936664152555987,0.0786,0.3728,0.6272,0.0,
ImageNetV2,101,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.42689999999999995,0.0695,0.09986807309541526,0.0767,0.3699,0.6301,0.0,B
ImageNetV2,102,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.15,0.0515,0.09706314291989523,0.0599,0.5139,0.4861,0.0,
ImageNetV2,102,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.38070000000000004,0.0725,0.09986664152555987,0.0726,0.3469,0.6531,0.0,
ImageNetV2,102,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.4707,0.0725,0.09986664152555987,0.0861,0.3855,0.6145,0.0,
ImageNetV2,102,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.45609999999999995,0.069,0.09936807309541526,0.0828,0.3804,0.6195999999999999,0.0,B
ImageNetV2,103,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.105,0.053,0.09856314291989524,0.0453,0.4664,0.5336000000000001,0.0,
ImageNetV2,103,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.3601,0.0725,0.09986664152555987,0.0688,0.3395,0.6605,0.0,
ImageNetV2,103,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.38029999999999997,0.0725,0.09986664152555987,0.0667,0.3516,0.6484,0.0,
ImageNetV2,103,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.36619999999999997,0.069,0.09936807309541526,0.0642,0.3461,0.6538999999999999,0.0,B
ImageNetV2,104,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.125,0.0525,0.09806314291989524,0.0518,0.4877,0.5123,0.0,
ImageNetV2,104,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.3477,0.0725,0.09986664152555987,0.0667,0.3357,0.6643,0.0,
ImageNetV2,104,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.39259999999999995,0.0725,0.09986664152555987,0.0697,0.3568,0.6432,0.0,
ImageNetV2,104,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.38449999999999995,0.0695,0.09986807309541526,0.0673,0.3531,0.6469,0.0,B
ImageNetV2,105,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.115,0.0535,0.09906314291989524,0.0489,0.4777,0.5223,0.0,
ImageNetV2,105,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.3409,0.0725,0.09986664152555987,0.0652,0.3327,0.6673,0.0,
ImageNetV2,105,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.3981,0.0725,0.09986664152555987,0.0711,0.3598,0.6402,0.0,
ImageNetV2,105,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.3883,0.0695,0.09986807309541526,0.0687,0.3553,0.6447,0.0,B
ImageNetV2,106,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.145,0.054,0.09956314291989524,0.0585,0.509,0.491,0.0,
ImageNetV2,106,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.4042,0.0725,0.09986664152555987,0.0782,0.3567,0.6433,0.0,
ImageNetV2,106,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.4262,0.0725,0.09986664152555987,0.0766,0.3698,0.6302,0.0,
ImageNetV2,106,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.40759999999999996,0.0695,0.09986807309541526,0.0736,0.3638,0.6362,0.0,B
ImageNetV2,107,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.135,0.054,0.09956314291989524,0.0557,0.4991,0.5009,0.0,
ImageNetV2,107,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.35050000000000003,0.0725,0.09986664152555987,0.0676,0.3369,0.6631,0.0,
ImageNetV2,107,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.45709999999999995,0.0725,0.09986664152555987,0.0832,0.3809,0.6191,0.0,
ImageNetV2,107,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.43989999999999996,0.0695,0.09986807309541526,0.0799,0.3748,0.6252,0.0,B
ImageNetV2,108,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.155,0.0525,0.09806314291989524,0.0615,0.5177,0.48229999999999995,0.0,
ImageNetV2,108,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.3759,0.0725,0.09986664152555987,0.0717,0.3449,0.6551,0.0,
ImageNetV2,108,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.4122,0.0725,0.09986664152555987,0.0742,0.3656,0.6344000000000001,0.0,
ImageNetV2,108,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.3944,0.0695,0.09986807309541526,0.0703,0.3581,0.6419,0.0,B
ImageNetV2,109,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.115,0.0525,0.09806314291989524,0.0489,0.4777,0.5223,0.0,
ImageNetV2,109,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.40269999999999995,0.0725,0.09986664152555987,0.0777,0.356,0.644,0.0,
ImageNetV2,109,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.38480000000000003,0.0725,0.09986664152555987,0.0674,0.3533,0.6467,0.0,
ImageNetV2,109,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.388,0.0695,0.09986807309541526,0.0745,0.3503,0.6496999999999999,0.0,A
ImageNetV2,110,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.13,0.0535,0.09906314291989524,0.0535,0.4936,0.5064,0.0,
ImageNetV2,110,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.37870000000000004,0.0725,0.09986664152555987,0.0722,0.346,0.654,0.0,
ImageNetV2,110,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.43069999999999997,0.072,0.09936664152555987,0.0775,0.3712,0.6288,0.0,
ImageNetV2,110,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.4193,0.0695,0.09986807309541526,0.075,0.3672,0.6328,0.0,B
ImageNetV2,111,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.135,0.0535,0.09906314291989524,0.0557,0.4991,0.5009,0.0,
ImageNetV2,111,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.37450000000000006,0.0725,0.09986664152555987,0.0715,0.3446,0.6554,0.0,
ImageNetV2,111,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.4598,0.0725,0.09986664152555987,0.0838,0.3821,0.6179,0.0,
